"","Year","num_trees","cone_counts","cone_index_t","cone_index_tm1","total_cones","mast"
"1",1988,216,46.7592592592593,2.97298637101158,NA,145.868050553848,"n"
"2",1989,231,0,0,2.97298637101158,0.00552515607190955,"n"
"3",1990,230,36.4260869565217,2.03130931727708,0,119.453112192285,"n"
"4",1991,253,1.01581027667984,0.28535160116581,2.03130931727708,2.15278951022889,"n"
"5",1992,250,83.8,3.24620320233034,0.28535160116581,305.614579135679,"n"
"6",1993,253,246.268774703557,4.71503728136086,3.24620320233034,1014.95405619235,"y"
"7",1994,252,1.37698412698413,0.335965307266762,4.71503728136086,2.99160604860717,"n"
"8",1995,253,114.901185770751,3.39488651709794,0.335965307266762,432.30641971094,"n"
"9",1996,254,72.988188976378,3.14085318030003,3.39488651709794,256.133914543759,"n"
"10",1997,253,43.1699604743083,2.49596691311832,3.14085318030003,137.734215349067,"n"
"11",1998,170,283.435294117647,4.8542925624371,2.49596691311832,1196.44474923843,"y"
"12",1999,170,34.2941176470588,1.90560489894481,4.8542925624371,114.82725876239,"n"
"13",2000,170,2.02941176470588,0.339232163817809,1.90560489894481,5.12869475137327,"n"
"14",2001,171,19.8538011695906,1.63107419740827,0.339232163817809,57.7980681454913,"n"
"15",2002,171,35.2690058479532,1.91735622401862,1.63107419740827,116.721702146776,"n"
"16",2003,171,8.71929824561403,0.933680787227602,1.91735622401862,23.8715365149486,"n"
"17",2004,170,12.6058823529412,1.04341831243246,0.933680787227602,37.9878171007752,"n"
"18",2005,170,160.170588235294,3.35580053296158,1.04341831243246,660.90371254896,"y"
"19",2006,170,1.28823529411765,0.206737367459374,3.35580053296158,3.16839872692363,"n"
"20",2007,170,26.9647058823529,1.63343243397053,0.206737367459374,88.4004316644332,"n"
"21",2008,170,7.51764705882353,0.61479903570643,1.63343243397053,25.6309656524958,"n"
"22",2009,170,20.7941176470588,1.37689236060351,0.61479903570643,65.3568980032732,"n"
"23",2010,167,340.520958083832,4.91860834767219,1.37689236060351,1503.1779860507,"y"
"24",2011,170,0.0352941176470588,0.0176219545503176,4.91860834767219,0.0616258791440231,"n"
"25",2012,161,26.6024844720497,1.68253105142547,0.0176219545503176,85.1580724492616,"n"
"26",2013,167,33.7964071856287,2.32466056708048,1.68253105142547,106.069897260917,"n"
"27",2014,159,213.528301886792,4.43958301805297,2.32466056708048,883.648321623685,"y"
"28",2015,167,0,0,4.43958301805297,0.00552515607190955,"n"
"29",2016,167,1.34131736526946,0.366597514876557,0,2.72744823813652,"n"
"30",2017,170,18.4117647058824,1.75433680587038,0.366597514876557,52.2419767637537,"n"
