"","Year","Grid","GridYear","num_trees","cone_counts","cone_index_t","cone_index_tm1","total_cones","mast","Exp","EXP_label"
"1",1988,"KL","KL1988",133,51.781954887218,3.09908301104899,NA,163.022995581326,"n","c",1
"2",1988,"SU","SU1988",83,38.710843373494,2.77092789962632,NA,118.37880129295,"n","c",1
"3",1989,"KL","KL1989",144,0,0,3.09908301104899,0.00552515607190955,"n","c",1
"4",1989,"SU","SU1989",87,0,0,2.77092789962632,0.00552515607190955,"n","c",1
"5",1990,"KL","KL1990",143,41.3216783216783,2.25078386855408,0,135.653092738565,"n","c",1
"6",1990,"SU","SU1990",87,28.3793103448276,1.67056379046545,0,92.8255579610445,"n","c",1
"7",1991,"AG","AG1991",83,0.795180722891566,0.223244897365723,NA,1.66709635049215,"n","c",1
"8",1991,"CH","CH1991",86,1.58139534883721,0.402702845094456,NA,3.29892306151366,"n","c",1
"9",1991,"KL","KL1991",168,1.45238095238095,0.396017825088179,2.25078386855408,3.10967558078706,"n","c",1
"10",1991,"LL","LL1991",79,4.13924050632911,0.362352046486127,NA,11.9703404387762,"n","c",1
"11",1991,"SU","SU1991",85,0.152941176470588,0.0666230644721876,1.67056379046545,0.261532335478619,"n","c",1
"12",1992,"AG","AG1992",84,67.5595238095238,2.56335502828785,0.223244897365723,243.549593846493,"n","c",1
"13",1992,"CH","CH1992",84,39.6309523809524,2.06634439579422,0.402702845094456,138.272497431005,"n","c",1
"14",1992,"KL","KL1992",164,100.768292682927,3.53674678805725,0.396017825088179,375.681299450316,"n","c",1
"15",1992,"LL","LL1992",74,70.8243243243243,2.94002983294186,0.362352046486127,253.320177155366,"n","c",1
"16",1992,"SU","SU1992",86,51.4418604651163,2.69214334117669,0.0666230644721876,171.998972954276,"n","c",1
"17",1993,"AG","AG1993",83,7.24096385542169,1.05055826106597,2.56335502828785,18.822034749172,"n","c",1
"18",1993,"CH","CH1993",86,12.0813953488372,1.42884145269951,2.06634439579422,33.5226370659708,"n","c",1
"19",1993,"KL","KL1993",167,300.497005988024,5.08936489946811,3.53674678805725,1258.26234378568,"y","c",1
"20",1993,"LL","LL1993",79,159.151898734177,3.66811455188247,2.94002983294186,646.302882083908,"y","c",1
"21",1993,"SU","SU1993",86,140.96511627907,3.98814527875725,2.69214334117669,542.483311679731,"y","c",1
"22",1994,"AG","AG1994",86,3.81395348837209,0.497191243818616,1.05055826106597,9.99667347622753,"n","c",1
"23",1994,"CH","CH1994",86,6.5,0.657525384990137,1.42884145269951,17.9212178111367,"n","c",1
"24",1994,"KL","KL1994",166,1.80120481927711,0.380323760999794,5.08936489946811,4.05728046998862,"n","c",1
"25",1994,"LL","LL1994",86,1.27906976744186,0.298124956743886,3.66811455188247,2.74983553633385,"n","c",1
"26",1994,"SU","SU1994",86,0.558139534883721,0.250343175642539,3.98814527875725,0.934606584080176,"n","c",1
"27",1995,"AG","AG1995",85,82.2705882352941,3.11380882567457,0.497191243818616,301.517667023509,"n","c",1
"28",1995,"CH","CH1995",86,151.046511627907,3.67661009310252,0.657525384990137,605.390936859401,"n","c",1
"29",1995,"KL","KL1995",168,133.875,3.66826977732922,0.380323760999794,505.712360037576,"n","c",1
"30",1995,"LL","LL1995",86,100.302325581395,3.13666275137104,0.298124956743886,380.213553373779,"n","c",1
"31",1995,"SU","SU1995",85,77.4,2.85455254393493,0.250343175642539,287.221737653588,"n","c",1
"32",1996,"KL","KL1996",168,82.0535714285714,3.32192580410932,3.66826977732922,289.39279409379,"n","c",1
"33",1996,"LL","LL1996",86,19.953488372093,1.79393768269028,3.13666275137104,59.9897220407796,"n","c",1
"34",1996,"SU","SU1996",86,55.2790697674419,2.78712991518421,2.85455254393493,191.163080073932,"n","c",1
"35",1997,"KL","KL1997",167,52.4311377245509,2.87297988785229,3.32192580410932,168.251570286035,"n","c",1
"36",1997,"LL","LL1997",78,37.1410256410256,2.63741679118832,1.79393768269028,110.22884222042,"n","c",1
"37",1997,"SU","SU1997",86,25.1860465116279,1.76386032264653,2.78712991518421,78.4737702970481,"n","c",1
"38",1998,"KL","KL1998",84,343.154761904762,5.16949592671395,2.87297988785229,1474.07415523741,"y","c",1
"39",1998,"LL","LL1998",78,293.910256410256,5.03069345298166,2.63741679118832,1239.81306691613,"y","c",1
"40",1998,"SU","SU1998",86,225.104651162791,4.54641950895738,1.76386032264653,925.271841053379,"y","c",1
"41",1999,"KL","KL1999",84,60.5238095238095,2.49944670570954,5.16949592671395,209.838676126995,"n","c",1
"42",1999,"LL","LL1999",78,13.0641025641026,1.36535163090049,5.03069345298166,35.7965446032501,"n","c",1
"43",1999,"SU","SU1999",86,8.67441860465116,1.325573366756,4.54641950895738,22.0254092434721,"n","c",1
"44",2000,"KL","KL2000",84,2.29761904761905,0.455152610783109,2.49944670570954,5.34430882803085,"n","c",1
"45",2000,"LL","LL2000",85,1.27058823529412,0.391076696153792,1.36535163090049,2.62701613535934,"n","c",1
"46",2000,"SU","SU2000",86,1.76744186046512,0.226007541200539,1.325573366756,4.91809495556819,"n","c",1
"47",2001,"KL","KL2001",85,27.4588235294118,2.05096907697608,0.455152610783109,81.4053697237969,"n","c",1
"48",2001,"LL","LL2001",85,14.5764705882353,1.00806304825429,0.391076696153792,47.6966178462063,"n","c",1
"49",2001,"SU","SU2001",86,12.3372093023256,1.21606181644009,0.226007541200539,34.4652700739103,"n","c",1
